Species,r (µm),2d (µm),(r + d)/r,N,P1_P8,r (µm),2d (µm),(r + d)/r,N
Tachymarptis melba,,,,,p8,,,,
Tetrastes bonasia,,,,,p8,,,,
Tringa glareola,16,244,8.6,1,p8,,,,
Troglodytes troglodytes,15,192,7.4,2,p8,,,,
Turdus merula,18,238,7.6,1,p8,,,,
Turdus philomelos,15,220,8.3,1,p8,,,,
Turdus pilaris,14,256,10.1,1,p8,,,,
Turdus viscivorus,,,,,p8,,,,
Tyto alba,31,200,4.2,1,p8,,,,
Upupa epops,,,,,p8,,,,
