"","order","family","genus","species","iucn2020_binomial","phylacine_binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","binomial_name","log_body_mass","picky","herbivore","carnivore","picky_herb","picky_carn"
"1427","Didelphimorphia","Didelphidae","Metachirus","nudicaudatus","Metachirus nudicaudatus","Metachirus nudicaudatus",440,3.03,270.345,NA,1460,NA,302.819,NA,323.552,15.988,9,5,1.55,364.75,NA,96.38,NA,687.774,0.675,22,0,2,NA,1,30,50,20,30,20,20,0,10,0,20,0,0,0,4,2,"S",1,0,0,1,0,2100,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",3,"metachirus_nudicaudatus",-0.82098055206983,0,0,0,0,0
"1428","Primates","Cheirogaleidae","Microcebus","ganzhorni","Microcebus ganzhorni","Microcebus murinus",66.9,1.797,143.61,NA,6643,355.53,299.265,243,380.2,60.34,NA,2.41,1,218.85,6,39.783,NA,2053.515,0.239,130.937,0,2,0.01,1,20,20,60,20,0,20,0,0,0,30,10,0,20,4,2,"Ar",1,0,0,1,0,NA,NA,NA,1,NA,0,0,"Afrotropical",2,"microcebus_murinus",-2.70455631184795,0,0,0,0,0
"1429","Primates","Cheirogaleidae","Microcebus","rufus","Microcebus rufus","Microcebus rufus",66.9,1.865,143.61,NA,6643,271.132,299.265,243,359.605,60.34,NA,2.41,1,218.85,6,39.783,NA,1995.208,0.239,83.929,1,2,0.01,1,20,20,60,20,0,20,0,0,0,30,10,0,20,4,2,"Ar",1,0,0,1,0,2000,NA,NA,1,"Occurs only on isolated islands",1,0,"Afrotropical",2,"microcebus_rufus",-2.70455631184795,0,0,0,0,0
"1430","Rodentia","Heteromyidae","Microdipodops","megacephalus","Microdipodops megacephalus","Microdipodops megacephalus",13.405,0.527,75,NA,1977.083,NA,136.252,NA,163.231,25.954,NA,3.9,1.772,111.266,1,27.07,NA,767.226,0.099,NA,1,1,0.004,NA,20,0,80,20,0,0,0,0,0,0,0,80,0,2,1,"G",1,0,0,1,0,NA,NA,NA,0,"Occurs on mainland",1,0,"Nearctic",2,"microdipodops_megacephalus",-4.31212750729421,0,0,0,0,0
"1431","Rodentia","Heteromyidae","Microdipodops","pallidus","Microdipodops pallidus","Microdipodops pallidus",13.55,0.549,75,NA,273.75,NA,127.14,NA,155.513,26.031,NA,3.895,1.998,108.726,1,28.383,NA,693.228,0.1,NA,1,1,NA,NA,20,0,80,20,0,0,0,0,0,0,0,80,0,2,2,"G",1,0,0,1,0,1750,1200,550,0,"Occurs on mainland",1,0,"Nearctic",1,"microdipodops_pallidus",-4.30136873165643,0,0,0,0,0
"1432","Afrosoricida","Tenrecidae","Microgale","brevicaudata","Microgale brevicaudata","Microgale brevicaudata",8.99,0.848,65,NA,1032.226,NA,509.66,NA,547.899,69.317,NA,4.5,1.721,244.045,NA,46.176,NA,1275.895,0.646,NA,0,1,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,1150,20,1130,1,"Occurs only on isolated islands",1,0,"Afrotropical",2,"microgale_brevicaudata",-4.71164243049861,1,0,1,1,3
"1433","Afrosoricida","Tenrecidae","Microgale","longicaudata","Microgale longicaudata","Microgale longicaudata",8.08,1.214,75,NA,999.547,NA,519.539,NA,565.522,70.434,NA,3.511,1.723,245.076,NA,47.481,NA,1324.698,0.613,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,2500,530,1970,1,"Occurs only on isolated islands",0,0,"Afrotropical",1,"microgale_longicaudata",-4.81836340644913,1,0,1,1,3
"1434","Afrosoricida","Tenrecidae","Microgale","majori","Microgale majori","Microgale majori",5.8,1.204,75,NA,1003.044,NA,515.258,NA,566.07,71.012,NA,3.514,1.722,246.129,NA,47.991,NA,1330.494,0.521,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,2500,800,1700,NA,"Occurs only on isolated islands",NA,NA,"Afrotropical",1,"microgale_majori",-5.14989736142976,1,0,1,1,3
"1435","Afrosoricida","Tenrecidae","Microgale","principula","Microgale principula","Microgale principula",10.2,1.178,80,NA,898.177,NA,515.306,NA,563.768,70.708,NA,3.574,1.722,245.764,NA,48.508,NA,1332.259,0.687,NA,0,1,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,1875,500,1375,1,"Occurs only on isolated islands",1,0,"Afrotropical",1,"microgale_principula",-4.58536755869191,1,0,1,1,3
"1436","Afrosoricida","Tenrecidae","Microgale","pusilla","Microgale pusilla","Microgale pusilla",3.4,1.231,56,NA,1383.844,NA,460.166,NA,468.099,67.062,NA,3.8,1.724,242.059,NA,43.941,NA,1305.082,0.401,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,1670,530,1140,1,"Occurs only on isolated islands",1,0,"Afrotropical",4,"microgale_pusilla",-5.68397984736002,1,0,1,1,3
"1437","Afrosoricida","Tenrecidae","Microgale","talazaci","Microgale talazaci","Microgale talazaci",46.05,0.79,140,NA,2129.167,394.57,639,639,425.83,61,NA,2.23,1.754,234.463,3.64,29.38,NA,918.033,1.438,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"G",2,0,0,1,0,2300,100,2200,1,"Occurs only on isolated islands",1,0,"Afrotropical",1,"microgale_talazaci",-3.07802751628082,1,0,1,1,3
"1438","Rodentia","Muridae","Micromys","minutus","Micromys minutus","Micromys minutus",7.18,0.29,67,NA,1825,37.37,40,37,52,20,NA,5.15,2.6,20.986,0.9,17.957,NA,502.66,0.07,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,40,30,3,2,"G",2,0,0,1,0,1700,0,1700,0,"Occurs on mainland",1,1,"Indomalayan, Palearctic",6,"micromys_minutus",-4.936455895922,0,0,0,0,0
"1439","Peramelemorphia","Peramelidae","Microperoryctes","aplini","Microperoryctes aplini","Microperoryctes aplini",79.3,2.981,187.5,NA,1591.449,NA,341.971,NA,356.747,19.773,6,2.558,1.761,178.095,NA,78.467,NA,844.617,0.263,NA,0,1,NA,NA,89,0,11,60,0,0,0,10,0,0,0,0,30,2,2,"G",1,0,0,1,0,2200,1800,400,NA,"Occurs on large land bridge islands",NA,NA,"Australasian",1,"microperoryctes_aplini",-2.53451715034133,0,0,0,0,0
"1440","Peramelemorphia","Peramelidae","Microperoryctes","longicauda","Microperoryctes longicauda","Microperoryctes longicauda",542.07,3.947,285.165,NA,1513.423,NA,324.694,NA,339.232,16.46,6,3,1.79,182.441,NA,82.382,NA,759.625,0.757,NA,0,1,NA,NA,60,10,30,60,0,0,0,10,0,0,0,0,30,2,2,"G",1,0,0,1,0,3950,1000,2950,1,"Occurs on large land bridge islands",0,0,"Australasian",2,"microperoryctes_longicauda",-0.612360134590288,0,0,0,0,0
